Unnamed: 0,image,discriminator_score,race,hair_length,red_mean,green_mean,blue_mean,luminance
315,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/226_cropped.png,112.99766540527344,white,long,95.82272,84.38719,76.766205,0.3383106
316,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/108_cropped.png,147.4425506591797,white,long,133.53003,112.795654,103.40003,0.45696938
317,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/30_cropped.png,179.17604064941406,white,long,176.73419,167.62308,161.44295,0.6631951
318,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/239_cropped.png,120.4781723022461,white,long,137.75421,129.44505,122.4056,0.5125653
319,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/142_cropped.png,135.16656494140625,white,long,110.139786,110.139786,110.139786,0.4319207
320,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/304_cropped.png,159.02670288085938,white,long,134.22093,123.59689,120.20243,0.49259347
321,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/808_cropped.png,158.8874053955078,white,long,137.21086,104.22421,79.16235,0.42914048
322,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/287_cropped.png,149.040283203125,white,long,103.37886,79.22987,72.51124,0.32894424
323,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/92_cropped.png,108.73072052001952,white,long,136.56857,119.91366,100.491104,0.47864306
324,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/342_cropped.png,137.5286407470703,white,long,154.05728,124.72278,62.61012,0.49599522
325,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/775_cropped.png,132.65762329101562,white,long,115.13189,115.13189,115.13189,0.45149755
326,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/748_cropped.png,153.87611389160156,white,long,137.75294,118.72939,114.87332,0.48037988
327,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/535_cropped.png,135.39154052734375,white,long,127.876976,116.18518,97.63317,0.46012866
328,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/333_cropped.png,66.24581146240234,white,long,65.066475,65.066475,65.066475,0.25516263
329,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/781_cropped.png,175.31556701660156,white,long,148.65665,100.53822,71.449936,0.42616606
330,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/587_cropped.png,177.45831298828125,white,long,164.30225,138.00058,119.19222,0.5577913
331,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/179_cropped.png,174.19786071777344,white,long,183.06657,162.4568,133.75943,0.6461523
332,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/110_cropped.png,154.45469665527344,white,long,177.62247,153.3593,142.9097,0.6186873
333,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/175_cropped.png,109.34004974365234,white,long,102.52154,102.52154,102.52154,0.4020453
334,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/3_cropped.png,160.4820098876953,white,long,166.42685,139.9745,137.61504,0.5703132
335,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/836_cropped.png,137.5286407470703,white,long,154.05728,124.72278,62.61012,0.49599522
336,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/465_cropped.png,155.85545349121094,white,long,114.30208,76.99951,65.62305,0.3298497
337,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/885_cropped.png,93.37821197509766,white,long,87.61683,87.61683,87.61683,0.34359542
338,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/156_cropped.png,125.24073028564452,white,long,159.20128,149.33131,144.30753,0.5924229
339,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/25_cropped.png,159.635986328125,white,long,149.75404,123.036804,110.816574,0.5013211
340,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/219_cropped.png,167.2176971435547,white,long,209.84152,188.011,178.62721,0.752849
341,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/449_cropped.png,168.69992065429688,white,long,132.09332,99.93411,87.097534,0.41508645
342,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/762_cropped.png,113.15723419189452,white,long,122.39944,122.39944,122.39944,0.47999778
343,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/552_cropped.png,132.14060974121094,white,long,117.47016,75.948006,95.83015,0.33809194
344,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/640_cropped.png,123.43724822998048,white,long,94.51986,91.35165,99.640785,0.36322996
345,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/60_cropped.png,134.18441772460938,white,long,108.11621,99.57328,96.20921,0.39665622
346,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/616_cropped.png,174.22808837890625,white,long,148.40765,125.04779,105.29234,0.5042746
347,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/718_cropped.png,104.55953216552734,white,long,94.83827,81.829315,77.41994,0.33050084
348,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/47_cropped.png,112.00006103515624,white,long,95.50755,79.27139,79.29633,0.3244163
349,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/639_cropped.png,149.21478271484375,white,long,158.69502,129.91476,116.81165,0.5297641
350,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/648_cropped.png,195.93667602539065,white,long,211.62343,199.35149,191.0043,0.7896431
351,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/413_cropped.png,172.28636169433594,white,long,198.85275,149.3667,112.38086,0.61655575
